tile_name,pixel_x,pixel_y,center_x,center_y,longitude,latitude,distance_from_center,match_confidence,main_image
tile_113.tif,4480,4480,4800,4800,-82.73112455124802,27.53112455124801,131.52186130069785,0.99797922372818,20241011aC0824415w273215n.tif
tile_98.tif,3840,4480,4160,4800,-82.73198785448753,27.53112455124801,554.8495291518233,0.9987887144088744,20241011aC0824415w273215n.tif
tile_112.tif,4480,3840,4800,4160,-82.73112455124802,27.53198785448752,554.8495291518233,0.9980966448783876,20241011aC0824415w273215n.tif
tile_128.tif,5120,4480,5440,4800,-82.7302612480085,27.53112455124801,738.8761736583472,0.9983781576156616,20241011aC0824415w273215n.tif
tile_114.tif,4480,5120,4800,5440,-82.73112455124802,27.530261248008497,738.8761736583472,0.998474657535553,20241011aC0824415w273215n.tif
tile_97.tif,3840,3840,4160,4160,-82.73198785448753,27.53198785448752,773.574818618083,0.9979292750358582,20241011aC0824415w273215n.tif
tile_99.tif,3840,5120,4160,5440,-82.73198785448753,27.530261248008497,914.602645961622,0.9984999299049376,20241011aC0824415w273215n.tif
tile_127.tif,5120,3840,5440,4160,-82.7302612480085,27.53198785448752,914.602645961622,0.9973974227905272,20241011aC0824415w273215n.tif
tile_129.tif,5120,5120,5440,5440,-82.7302612480085,27.530261248008497,1036.6185412194786,0.9982035160064696,20241011aC0824415w273215n.tif
tile_83.tif,3200,4480,3520,4800,-82.73285115772704,27.53112455124801,1190.637644289815,0.998182773590088,20241011aC0824415w273215n.tif
tile_111.tif,4480,3200,4800,3520,-82.73112455124802,27.53285115772703,1190.637644289815,0.995394229888916,20241011aC0824415w273215n.tif
tile_96.tif,3840,3200,4160,3520,-82.73198785448753,27.53285115772703,1306.9728382793576,0.9969242811203004,20241011aC0824415w273215n.tif
tile_82.tif,3200,3840,3520,4160,-82.73285115772704,27.53198785448752,1306.9728382793576,0.998296558856964,20241011aC0824415w273215n.tif
tile_143.tif,5760,4480,6080,4800,-82.72939794476899,27.53112455124801,1376.1460678285573,0.9978139996528624,20241011aC0824415w273215n.tif
tile_115.tif,4480,5760,4800,6080,-82.73112455124802,27.529397944768984,1376.1460678285573,0.9981781840324402,20241011aC0824415w273215n.tif
tile_84.tif,3200,5120,3520,5440,-82.73285115772704,27.530261248008497,1395.0835100451873,0.9986914992332458,20241011aC0824415w273215n.tif
tile_126.tif,5120,3200,5440,3520,-82.7302612480085,27.53285115772703,1395.0835100451873,0.9944409728050232,20241011aC0824415w273215n.tif
tile_142.tif,5760,3840,6080,4160,-82.72939794476899,27.53198785448752,1477.9506081056973,0.9959929585456848,20241011aC0824415w273215n.tif
tile_100.tif,3840,5760,4160,6080,-82.73198785448753,27.529397944768984,1477.9506081056973,0.9987418055534364,20241011aC0824415w273215n.tif
tile_144.tif,5760,5120,6080,5440,-82.72939794476899,27.530261248008497,1556.4118992092035,0.9983243942260742,20241011aC0824415w273215n.tif
tile_130.tif,5120,5760,5440,6080,-82.7302612480085,27.529397944768984,1556.4118992092035,0.9984350204467772,20241011aC0824415w273215n.tif
tile_81.tif,3200,3200,3520,3520,-82.73285115772704,27.53285115772703,1678.6714985368635,0.9983880519866944,20241011aC0824415w273215n.tif
tile_141.tif,5760,3200,6080,3520,-82.72939794476899,27.53285115772703,1814.9650134368983,0.994141399860382,20241011aC0824415w273215n.tif
tile_85.tif,3200,5760,3520,6080,-82.73285115772704,27.529397944768984,1814.9650134368983,0.9988707900047302,20241011aC0824415w273215n.tif
tile_110.tif,4480,2560,4800,2880,-82.73112455124802,27.533714460966543,1829.3654637605905,0.9939514398574828,20241011aC0824415w273215n.tif
tile_68.tif,2560,4480,2880,4800,-82.73371446096654,27.53112455124801,1829.3654637605905,0.9982982873916626,20241011aC0824415w273215n.tif
tile_95.tif,3840,2560,4160,2880,-82.73198785448753,27.533714460966543,1907.1282075413808,0.994830310344696,20241011aC0824415w273215n.tif
