tile_name,pixel_x,pixel_y,center_x,center_y,longitude,latitude,distance_from_center,match_confidence,main_image
tile_113.tif,4480,4480,4800,4800,-82.71862455124801,27.518624551248006,131.52186130069785,0.9975799322128296,20241011aC0824330w273130n.tif
tile_98.tif,3840,4480,4160,4800,-82.71948785448753,27.518624551248006,554.8495291518233,0.9982243776321411,20241011aC0824330w273130n.tif
tile_112.tif,4480,3840,4800,4160,-82.71862455124801,27.51948785448752,554.8495291518233,0.9980679750442505,20241011aC0824330w273130n.tif
tile_128.tif,5120,4480,5440,4800,-82.7177612480085,27.518624551248006,738.8761736583472,0.998502790927887,20241011aC0824330w273130n.tif
tile_114.tif,4480,5120,4800,5440,-82.71862455124801,27.517761248008497,738.8761736583472,0.99833744764328,20241011aC0824330w273130n.tif
tile_97.tif,3840,3840,4160,4160,-82.71948785448753,27.51948785448752,773.574818618083,0.9975713491439819,20241011aC0824330w273130n.tif
tile_99.tif,3840,5120,4160,5440,-82.71948785448753,27.517761248008497,914.602645961622,0.9986115097999573,20241011aC0824330w273130n.tif
tile_127.tif,5120,3840,5440,4160,-82.7177612480085,27.51948785448752,914.602645961622,0.9976509213447571,20241011aC0824330w273130n.tif
tile_129.tif,5120,5120,5440,5440,-82.7177612480085,27.517761248008497,1036.6185412194786,0.998613715171814,20241011aC0824330w273130n.tif
tile_83.tif,3200,4480,3520,4800,-82.72035115772704,27.518624551248006,1190.637644289815,0.9977018237113953,20241011aC0824330w273130n.tif
tile_111.tif,4480,3200,4800,3520,-82.71862455124801,27.52035115772703,1190.637644289815,0.9982002377510071,20241011aC0824330w273130n.tif
tile_96.tif,3840,3200,4160,3520,-82.71948785448753,27.52035115772703,1306.9728382793576,0.9979615807533264,20241011aC0824330w273130n.tif
tile_82.tif,3200,3840,3520,4160,-82.72035115772704,27.51948785448752,1306.9728382793576,0.9981860518455505,20241011aC0824330w273130n.tif
tile_143.tif,5760,4480,6080,4800,-82.71689794476899,27.518624551248006,1376.1460678285573,0.9979669451713562,20241011aC0824330w273130n.tif
tile_115.tif,4480,5760,4800,6080,-82.71862455124801,27.516897944768985,1376.1460678285573,0.9981442093849182,20241011aC0824330w273130n.tif
tile_84.tif,3200,5120,3520,5440,-82.72035115772704,27.517761248008497,1395.0835100451873,0.9983572363853455,20241011aC0824330w273130n.tif
tile_126.tif,5120,3200,5440,3520,-82.7177612480085,27.52035115772703,1395.0835100451873,0.9983358383178711,20241011aC0824330w273130n.tif
tile_142.tif,5760,3840,6080,4160,-82.71689794476899,27.51948785448752,1477.9506081056973,0.9979204535484314,20241011aC0824330w273130n.tif
tile_100.tif,3840,5760,4160,6080,-82.71948785448753,27.516897944768985,1477.9506081056973,0.998735785484314,20241011aC0824330w273130n.tif
tile_144.tif,5760,5120,6080,5440,-82.71689794476899,27.517761248008497,1556.4118992092035,0.998345136642456,20241011aC0824330w273130n.tif
tile_130.tif,5120,5760,5440,6080,-82.7177612480085,27.516897944768985,1556.4118992092035,0.9987596869468689,20241011aC0824330w273130n.tif
tile_120.tif,4978,5893,5298,6213,-82.71795279341477,27.516718539564526,1617.8124118698063,0.48027485609054565,20241011aC0824330w273130n.tif
tile_75.tif,5051,5893,5371,6213,-82.71785432288901,27.516718539564526,1645.883349450987,0.5181940197944641,20241011aC0824330w273130n.tif
tile_150.tif,5081,5894,5401,6214,-82.71781385554965,27.51671719065321,1659.1217556285615,0.4866834580898285,20241011aC0824330w273130n.tif
tile_81.tif,3200,3200,3520,3520,-82.72035115772704,27.52035115772703,1678.6714985368637,0.9980543851852417,20241011aC0824330w273130n.tif
tile_135.tif,4967,5963,5287,6283,-82.7179676314392,27.516624115772704,1679.3379647944603,0.5666894912719727,20241011aC0824330w273130n.tif
tile_90.tif,5049,5937,5369,6257,-82.71785702071163,27.516659187466807,1685.4506815685827,0.4877234399318695,20241011aC0824330w273130n.tif
tile_141.tif,5760,3200,6080,3520,-82.71689794476899,27.52035115772703,1814.9650134368983,0.9984005689620972,20241011aC0824330w273130n.tif
tile_85.tif,3200,5760,3520,6080,-82.72035115772704,27.516897944768985,1814.9650134368983,0.9986697435379028,20241011aC0824330w273130n.tif
tile_110.tif,4480,2560,4800,2880,-82.71862455124801,27.52121446096654,1829.3654637605905,0.9975784420967102,20241011aC0824330w273130n.tif
tile_68.tif,2560,4480,2880,4800,-82.72121446096654,27.518624551248006,1829.3654637605905,0.9985373616218567,20241011aC0824330w273130n.tif
tile_95.tif,3840,2560,4160,2880,-82.71948785448753,27.52121446096654,1907.1282075413808,0.9979315400123596,20241011aC0824330w273130n.tif
tile_67.tif,2560,3840,2880,4160,-82.72121446096654,27.51948785448752,1907.1282075413808,0.998305082321167,20241011aC0824330w273130n.tif
tile_145.tif,5760,5760,6080,6080,-82.71689794476899,27.516897944768985,1941.7152211382595,0.9985513687133789,20241011aC0824330w273130n.tif
tile_69.tif,2560,5120,2880,5440,-82.72121446096654,27.517761248008497,1968.5573397795656,0.9978740811347961,20241011aC0824330w273130n.tif
tile_125.tif,5120,2560,5440,2880,-82.7177612480085,27.52121446096654,1968.5573397795656,0.9988781213760376,20241011aC0824330w273130n.tif
tile_158.tif,6400,4480,6720,4800,-82.71603464152948,27.518624551248006,2015.147141029657,0.9980417490005493,20241011aC0824330w273130n.tif
tile_116.tif,4480,6400,4800,6720,-82.71862455124801,27.516034641529473,2015.147141029657,0.9986847043037415,20241011aC0824330w273130n.tif
tile_157.tif,6400,3840,6720,4160,-82.71603464152948,27.51948785448752,2085.9956855180694,0.9983528852462769,20241011aC0824330w273130n.tif
